overlap_bin_main,source_signature,row_count,taxonomy_group,bacdive_status_closure,metatraits_covered
metatraits_only,proteome:UP000001806,228,target_bacteria,bacdive_not_found,True
metatraits_only,proteome:UP000000806,288,target_bacteria,bacdive_not_found,True
bacdive_only,taxon:575|organism:raoultella planticola (klebsiella planticola),2,target_bacteria,bacdive_species_exact_name_match,False
bacdive_only,taxon:577|organism:raoultella terrigena (klebsiella terrigena),5,target_bacteria,bacdive_species_exact_name_match,False
bacdive_only,taxon:573|organism:klebsiella pneumoniae,53,target_bacteria,bacdive_species_exact_name_match,False
metatraits_only,proteome:UP000000601,183,target_bacteria,bacdive_not_found,True
bacdive_only,proteome:UP000889800,194,target_bacteria,bacdive_species_exact_name_match,False
bacdive_only,proteome:UP000000364,140,target_bacteria,bacdive_species_exact_name_match,False
metatraits_only,proteome:UP000000416,233,target_bacteria,bacdive_not_found,True
bacdive_only,proteome:UP000000800,98,target_bacteria,bacdive_exact_designation,False
bacdive_only,taxon:83558|organism:chlamydia pneumoniae (chlamydophila pneumoniae),105,target_bacteria,bacdive_species_exact_name_match,False
bacdive_only,proteome:UP000000431,101,target_bacteria,bacdive_exact_culture_collection,False
bacdive_only,proteome:UP000001022,170,target_bacteria,bacdive_exact_culture_collection,False
bacdive_only,proteome:UP000000554,193,target_archaea,bacdive_species_exact_name_match,False
bacdive_only,taxon:29449|organism:rhizobium etli,5,target_bacteria,bacdive_species_exact_name_match,False
bacdive_only,proteome:UP000001976,377,target_bacteria,bacdive_species_taxid_or_synonym_match,False
bacdive_only,proteome:UP000001321,125,target_archaea,bacdive_exact_genome,False
bacdive_only,proteome:UP000002698,126,target_archaea,bacdive_exact_culture_collection,False
bacdive_only,proteome:UP000000365,83,target_archaea,bacdive_exact_culture_collection,False
bacdive_only,proteome:UP000000740,56,target_archaea,bacdive_exact_culture_collection,False
bacdive_only,proteome:UP000001169,154,target_archaea,bacdive_exact_genome,False
bacdive_only,proteome:UP000001975,85,target_archaea,bacdive_exact_culture_collection,False
bacdive_only,proteome:UP000001941,115,target_archaea,bacdive_exact_culture_collection,False
bacdive_only,proteome:UP000000663,86,target_archaea,bacdive_exact_culture_collection,False
bacdive_only,proteome:UP000001931,112,target_archaea,bacdive_exact_culture_collection,False
bacdive_only,proteome:UP000005223,330,target_archaea,bacdive_exact_genome,False
bacdive_only,proteome:UP000000240,123,target_bacteria,bacdive_species_exact_name_match,False
metatraits_only,proteome:UP000001747,65,target_archaea,bacdive_not_found,True
metatraits_only,proteome:UP000001350,65,target_archaea,bacdive_not_found,True
metatraits_only,proteome:UP000002307,66,target_archaea,bacdive_not_found,True
metatraits_only,proteome:UP000002308,67,target_archaea,bacdive_not_found,True
metatraits_only,proteome:UP000006818,65,target_archaea,bacdive_not_found,True
metatraits_only,proteome:UP000001479,66,target_archaea,bacdive_not_found,True
bacdive_only,proteome:UP000000674,97,target_archaea,bacdive_exact_culture_collection,False
metatraits_only,proteome:UP000000435,60,target_bacteria,bacdive_not_found,True
metatraits_only,proteome:UP000000533,58,target_bacteria,bacdive_not_found,True
metatraits_only,proteome:UP000001021,57,target_bacteria,bacdive_not_found,True
bacdive_only,proteome:UP000000805,454,target_archaea,bacdive_exact_culture_collection,False
bacdive_only,proteome:UP001154402,65,target_bacteria,bacdive_exact_culture_collection,False
bacdive_only,proteome:UP001154401,61,target_bacteria,bacdive_species_exact_name_match,False
bacdive_only,proteome:UP000008330,137,target_bacteria,bacdive_species_exact_name_match,False
bacdive_only,proteome:UP000001600,144,target_bacteria,bacdive_species_exact_name_match,False
bacdive_only,proteome:UP000001596,117,target_bacteria,bacdive_exact_culture_collection,False
bacdive_only,proteome:UP000006575,192,target_bacteria,bacdive_exact_culture_collection,False
bacdive_only,proteome:UP000001260,76,target_bacteria,bacdive_exact_designation,False
bacdive_only,proteome:UP000001936,203,target_bacteria,bacdive_exact_culture_collection,False
bacdive_only,proteome:UP000002532,72,target_bacteria,bacdive_exact_culture_collection,False
bacdive_only,proteome:UP000001012,78,target_bacteria,bacdive_exact_culture_collection,False
metatraits_only,taxon:163164|organism:wolbachia pipientis wmel,76,target_bacteria,bacdive_not_found,True
bacdive_only,proteome:UP000002193,88,target_bacteria,bacdive_exact_culture_collection,False
bacdive_only,proteome:UP000006383,133,target_bacteria,bacdive_exact_genome,False
bacdive_only,proteome:UP000001106,130,target_archaea,bacdive_exact_culture_collection,False
bacdive_only,proteome:UP000001385,156,target_bacteria,bacdive_exact_culture_collection,False
bacdive_only,proteome:UP000008545,155,target_bacteria,bacdive_species_taxid_or_synonym_match,False
bacdive_only,proteome:UP000008842,76,target_bacteria,bacdive_exact_genome,False
bacdive_only,proteome:UP000002565,135,target_bacteria,bacdive_species_taxid_or_synonym_match,False
bacdive_only,proteome:UP000001748,139,target_bacteria,bacdive_species_exact_name_match,False
bacdive_only,proteome:UP000001979,134,target_archaea,bacdive_exact_culture_collection,False
metatraits_only,proteome:UP000007058,132,target_bacteria,bacdive_not_found,True
bacdive_only,proteome:UP000002719,194,target_bacteria,bacdive_species_taxid_or_synonym_match,False
bacdive_only,proteome:UP000000540,194,target_bacteria,bacdive_species_taxid_or_synonym_match,False
bacdive_only,proteome:UP000000588,105,target_bacteria,bacdive_species_exact_name_match,False
bacdive_only,proteome:UP000007104,231,target_bacteria,bacdive_species_taxid_or_synonym_match,False
bacdive_only,proteome:UP000000419,234,target_bacteria,bacdive_exact_culture_collection,False
bacdive_only,proteome:UP000000253,143,target_archaea,bacdive_species_exact_name_match,False
bacdive_only,proteome:UP000001107,146,target_archaea,bacdive_exact_culture_collection,False
metatraits_only,proteome:UP000001136,90,target_bacteria,bacdive_species_candidate_unvalidated,True
metatraits_only,proteome:UP000001591,72,target_bacteria,bacdive_species_candidate_unvalidated,True
bacdive_only,proteome:UP000002209,32,target_bacteria,bacdive_exact_culture_collection,False
metatraits_only,proteome:UP000000798,286,target_bacteria,bacdive_not_found,True
bacdive_only,proteome:UP000000590,190,target_archaea,bacdive_exact_culture_collection,False
bacdive_only,proteome:UP000001414,197,target_bacteria,bacdive_exact_genome,False
metatraits_only,proteome:UP000001693,109,target_bacteria,bacdive_not_found,True
bacdive_only,proteome:UP000001822,96,target_bacteria,bacdive_exact_genome,False
